City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
116,Saint-Georges,GD,2022-05-26 02:29:44,12.0564,-61.7485,78.69,78,100,15.59
117,Adrar,MR,2022-05-26 02:29:44,20.5022,-10.0711,86.29,14,0,8.41
118,Praia,CV,2022-05-26 02:29:45,14.9215,-23.5087,72.14,73,75,14.97
119,Barrow,US,2022-05-26 02:29:45,71.2906,-156.7887,33.82,86,40,13.8
120,Ponta Do Sol,PT,2022-05-26 02:29:46,32.6667,-17.1,64.0,71,95,5.01
121,Olinda,BR,2022-05-26 02:27:47,-8.0089,-34.8553,73.13,94,75,8.05
122,Waddan,LY,2022-05-26 02:29:46,29.1614,16.139,83.53,10,0,18.54
123,Visnes,NO,2022-05-26 02:29:47,59.3556,5.2242,50.83,87,100,20.71
124,Tungor,RU,2022-05-26 02:29:47,53.3808,142.9564,58.42,61,99,10.74
125,Salalah,OM,2022-05-26 02:29:47,17.0151,54.0924,79.52,81,58,5.46
126,Bredasdorp,ZA,2022-05-26 02:29:48,-34.5322,20.0403,58.23,93,100,1.77
127,Kingston,JM,2022-05-26 02:29:48,17.997,-76.7936,81.55,81,20,17.27
128,Itarema,BR,2022-05-26 02:29:48,-2.9248,-39.9167,75.54,90,3,9.33
129,Tasiilaq,GL,2022-05-26 02:29:49,65.6145,-37.6368,37.56,83,98,3.11
130,Atar,MR,2022-05-26 02:29:49,20.5169,-13.0499,89.44,12,95,3.24
131,Beba,CU,2022-05-26 02:29:50,22.4437,-79.7253,77.27,84,21,10.65
132,Kiama,AU,2022-05-26 02:29:50,-34.6833,150.8667,68.38,73,93,4.27
133,Emba,KZ,2022-05-26 02:29:50,48.8264,58.1442,53.47,62,50,11.72
134,Kahului,US,2022-05-26 02:29:51,20.8947,-156.47,82.42,57,20,18.41
135,Soyo,AO,2022-05-26 02:30:51,-6.1349,12.3689,73.17,87,31,5.08
136,Glendive,US,2022-05-26 02:30:51,47.1053,-104.7125,65.82,48,75,8.05
137,Klaksvik,FO,2022-05-26 02:30:52,62.2266,-6.589,45.52,75,7,15.61
138,Batagay-Alyta,RU,2022-05-26 02:30:52,67.8006,130.4114,27.54,83,93,15.39
139,Bethel,US,2022-05-26 02:30:53,41.3712,-73.414,58.03,71,0,0.0
140,Comodoro Rivadavia,AR,2022-05-26 02:30:53,-45.8667,-67.5,39.06,41,0,6.91
141,Takoradi,GH,2022-05-26 02:30:53,4.8845,-1.7554,77.72,85,52,5.64
142,Qaanaaq,GL,2022-05-26 02:30:54,77.484,-69.3632,12.27,83,26,5.14
143,Cobija,BO,2022-05-26 02:30:54,-11.0267,-68.7692,71.49,93,100,1.68
144,Tiksi,RU,2022-05-26 02:30:55,71.6872,128.8694,27.46,76,100,10.0
145,Airai,TL,2022-05-26 02:30:55,-8.9266,125.4092,74.19,58,94,3.18
146,Peterhead,GB,2022-05-26 02:30:55,57.5058,-1.7981,45.0,80,2,13.02
147,Antsirabe,MG,2022-05-26 02:30:56,-19.85,47.0333,51.53,88,0,2.3
148,Vila Franca Do Campo,PT,2022-05-26 02:30:56,37.7167,-25.4333,65.19,80,58,5.14
149,Ordynskoye,RU,2022-05-26 02:30:57,54.3656,81.8994,71.29,53,0,14.74
150,Luena,AO,2022-05-26 02:30:57,-11.7833,19.9167,48.56,52,0,3.76
151,Lebu,CL,2022-05-26 02:30:58,-37.6167,-73.65,45.86,82,13,14.45
152,San Ignacio,BZ,2022-05-26 02:30:58,17.1561,-89.0714,78.94,94,0,6.91
153,Corinth,GR,2022-05-26 02:30:58,37.9407,22.9573,67.41,68,6,3.44
154,Kidal,ML,2022-05-26 02:30:59,18.4411,1.4078,86.99,29,88,6.49
155,Hermanus,ZA,2022-05-26 02:30:59,-34.4187,19.2345,57.79,91,92,2.98
156,Rio Grande,BR,2022-05-26 02:31:00,-32.035,-52.0986,60.94,98,100,6.53
157,Gidam,IN,2022-05-26 02:31:00,18.9833,81.4,93.69,34,49,4.32
158,Cabo San Lucas,MX,2022-05-26 02:31:00,22.8909,-109.9124,79.11,58,0,0.0
159,Mitu,CO,2022-05-26 02:29:12,1.1983,-70.1733,72.3,99,100,0.38
160,Port-Gentil,GA,2022-05-26 02:31:01,-0.7193,8.7815,77.34,78,100,11.79
161,Gold Coast,AU,2022-05-26 02:26:39,-28.0,153.4333,76.24,81,75,11.5
162,Saint-Philippe,RE,2022-05-26 02:31:01,-21.3585,55.7679,69.39,76,4,5.48
163,Neryungri,RU,2022-05-26 02:31:02,56.6709,124.6491,46.69,85,100,2.39
164,Whitehorse,CA,2022-05-26 02:30:33,60.7161,-135.0538,57.02,43,75,9.22
165,Tatawin,TN,2022-05-26 02:31:02,32.9297,10.4518,80.91,15,100,5.64
166,Diego De Almagro,CL,2022-05-26 02:31:03,-26.3667,-70.05,58.14,46,15,1.36
167,Itoman,JP,2022-05-26 02:31:03,26.1247,127.6694,77.4,92,75,6.91
168,Oistins,BB,2022-05-26 02:31:03,13.0667,-59.5333,80.69,78,20,16.11
169,Nyagan,RU,2022-05-26 02:31:04,62.1406,65.3936,63.99,78,98,10.58
170,College,US,2022-05-26 02:31:04,64.8569,-147.8028,70.59,32,75,14.97
